name,imageUrl,area,profileUrl,office,tags,isLoggedUser,positionName,id,parentId,size
ValiantLab,https://images.pexels.com/photos/771742/pexels-photo-771742.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500,Corporate,http://example.com/employee/profile,CTO office,"Ceo,tag1,manager,cto",FALSE,CEO,O-6066,,
Doris Weiss,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT3WEmfJCME77ZGymWrlJkXRv5bWg9QQmQEzw&usqp=CAU,Corporate,http://example.com/employee/profile,CEO office,"Ceo,tag1, tag2",FALSE,COO,O-6067,O-6066,
Chantelle Andrews,https://c8.alamy.com/comp/RC8KYJ/beautiful-young-woman-face-portrait-profile-picture-RC8KYJ.jpg,Corporate,http://example.com/employee/profile,CEO office,"Ceo,tag1, tag2",FALSE,CFO,O-6068,O-6066,
Poppie Johnson,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/female.jpg,Corporate,http://example.com/employee/profile,CEO office,"Ceo,tag1, tag2",FALSE,Head of Production,O-6069,O-6067,
Alana Bright,https://media.istockphoto.com/id/1300972573/photo/pleasant-young-indian-woman-freelancer-consult-client-via-video-call.jpg?b=1&s=612x612&w=0&k=20&c=gApYcn6GubvJA-YoMO00KZAShv66MHEwrsAbcmaq_cQ=,Corporate,http://example.com/employee/profile,CEO office,"Ceo,tag1, tag2",FALSE,Head of Sale Division,O-6070,O-6067,
Joe Grant,https://mdbcdn.b-cdn.net/img/Photos/new-templates/bootstrap-profiles/avatar-1.webp,Corporate,http://example.com/employee/profile,CEO office,"Ceo,tag1, tag2",FALSE,Head of Marketing,O-6071,O-6067,
Cormac Wise,https://t3.ftcdn.net/jpg/01/73/77/00/360_F_173770068_LRQyNUZQn9WtQyJoJsOEwK8qwBzypBm0.jpg,Corporate,http://example.com/employee/profile,CEO office,"Ceo,tag1, tag2",FALSE,Head of Purchasing,O-6072,O-6067,
Timothy Stanton,https://d2qp0siotla746.cloudfront.net/img/use-cases/profile-picture/template_0.jpg,Corporate,http://example.com/employee/profile,CEO office,"Ceo,tag1, tag2",FALSE,Head of I.T,O-6073,O-6067,
Kara Howard,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSz94X8kbLsqP4ftFOel0Qf2dXOPkhCIgCGag&usqp=CAU,Corporate,http://example.com/employee/profile,CEO office,"Ceo,tag1, tag2",FALSE,Head of Retail Stores,O-6074,O-6067,
Catrin Benson,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTbgk0yfCOe55931lf6q0osfhGRU-fnH8Im1g&usqp=CAU,Corporate,http://example.com/employee/profile,CEO office,"Ceo,tag1, tag2",FALSE,Head of Warehouse + Logistics,O-6075,O-6067,
